Column,id,title,publication,date
32000,50767,"Trump rips ’all talk,’ ’no action’ civil rights icon Lewis",CNN,2017-01-14
32005,50772,China: No negotiation on ’One China’ policy despite Trump remarks,CNN,2017-01-14
32016,50783,Trump hints at European immigration restrictions,CNN,2017-01-16
32020,50787,Mike Pence: No contact between Trump campaign and Russia,CNN,2017-01-15
32022,50789,Obama’s advice to Trump on being president,CNN,2017-01-13T00:00:00Z
32028,50795,Trump slams CIA Director Brennan over plea for ’appreciation’ of intel community,CNN,2017-01-15
32029,50796,What MLK might say to Donald Trump,CNN,2017-01-15
32031,50798,"Donald Trump, attack me on Twitter, please",CNN,2017-01-15
32034,50801,"McDonough: Obama sees Trump as ’freely elected,’ defends Lewis",CNN,2017-01-15T00:00:00Z
32037,50804,Empty desks in the Trump White House? ,CNN,2017-01-15
32040,50807,Trump’s HHS pick doesn’t want to flaunt his own Obamacare bill at confirmation hearing,CNN,2017-01-17T00:00:00Z
32041,50808,The world needs fixing — and Trump thinks he’s the man to do it,CNN,2017-01-17
32047,50814,Ethics paperwork still missing for Trump’s billionaire Cabinet picks ,CNN,2017-01-16
32049,50816,Trump rattles NATO with ’obsolete’ blast,CNN,2017-01-16
32050,50817,Sources: Trump labor pick Andrew Puzder has voiced second thoughts about nomination,CNN,2017-01-16
32052,50819,"First on CNN: Trump’s Cabinet pick invested in company, then introduced a bill to help it",CNN,2017-01-16
32058,50825,How white nationalists are losing faith in Trump,CNN,2017-01-16
32061,50828,"Before presidential run, Trump called Russia the ’biggest problem’ and geopolitical foe of U.S.",CNN,2017-01-16
32067,50834,Trump’s NATO comments differ from his own nominees,CNN,2017-01-16
32069,50836,Trump education pick painted by Dems as unqualified,CNN,2017-01-17
32071,50838,Trump on Lewis: ’He got caught in a bad lie’,CNN,2017-01-17
32077,50844,Trump’s new world disorder,CNN,2017-01-17
32078,50845,Dems won’t commit to confirm some of Trump’s top Cabinet picks on Inauguration Day,CNN,2017-01-17
32079,50846,Weather for Trump’s inauguration looks gloomy,CNN,2017-01-17
32082,50849,Trump nominee questions US funding of UN,CNN,2017-01-17
32083,50850,"Everything you need to know about Trump’s inauguration, weekend protests",CNN,2017-01-17
32086,50853,Trump doesn’t care if you don’t like him,CNN,2017-01-17
32087,50854,Marching against Trump is only a start,CNN,2017-01-15
32089,50856,Trump is following the authoritarian playbook,CNN,2017-01-16
32092,50859,Trump’s blast sends chill across Europe,CNN,2017-01-17
32098,50865,Interior nominee grilled on Trump’s comments on sexual assault,CNN,2017-01-17
32100,50867,Schumer warns GOP against jamming Trump nominees through Senate ,CNN,2017-01-19
32101,50868,Transition Tracker: Picking apart Trump’s Cabinet picks,CNN,2017-01-19
32104,50871,Trump as job creator -- hope or hoax?  ,CNN,2017-01-19
32118,50885,"Manchin: Concerned about Trump Cabinet picks Price, DeVos ",CNN,2017-01-18
32137,50904,Washington prepares for Donald Trump’s big moment,CNN,2017-01-19
32139,50906,How the world sees a Trump presidency,CNN,2017-01-18
32141,50908, Inflammatory pastor preached to Trump before inauguration ,CNN,2017-01-19
32142,50909,Democrats vow to fight Trump’s plans to repeal Obamacare,CNN,2017-01-19T00:00:00Z
32145,50912,The galaxy of Trump’s presidential appointments,CNN,2017-01-19
32148,50915,"Obama’s last transfer of Gitmo detainees, Trump inherits 41 ",CNN,2017-01-19T00:00:00Z
32155,50922,Trump becomes 45th President of the United States,CNN,2017-01-20
