Column,id,title,publication,date
303,17622,"Donald Trump, Chicago Police: Your Friday Evening Briefing - The New York Times",New York Times,2017-01-14
320,17642,"‘You Focus on the Good’: Women Who Voted for Trump, in Their Own Words - The New York Times",New York Times,2017-01-15
321,17643,"‘All Talk,’ ‘No Action,’ Says Trump in Twitter Attack on Civil Rights Icon - The New York Times",New York Times,2017-01-16
323,17645,Jennifer Holliday Decides Not to Sing for Trump After Opposition - The New York Times,New York Times,2017-01-15
339,17667,"Scott Pruitt, Trump’s E.P.A. Pick, Backed Industry Donors Over Regulators - The New York Times",New York Times,2017-01-17
340,17669,"Trump, Davos, Martin Luther King Jr.: Your Weekend Briefing - The New York Times",New York Times,2017-01-15
341,17670,Donald Trump News Conference Gets the ‘S.N.L.’ Treatment - The New York Times,New York Times,2017-01-16
342,17671,"Trump, Twitter and the Art of His Deal - The New York Times",New York Times,2017-01-16
358,17690,"As Inauguration Nears, Trump Keeps World Leaders on Edge - The New York Times",New York Times,2017-01-17
360,17692,"For Trump, Three Decades of Chasing Deals in Russia - The New York Times",New York Times,2017-01-17
361,17693,"With Blacks Alarmed by His Tone, Trump Meets With Martin Luther King III - The New York Times",New York Times,2017-01-17
363,17695,Trump Health Secretary Pick’s Longtime Foes: Big Government and Insurance Companies - The New York Times,New York Times,2017-01-17
366,17698,Bill Maher Isn’t High on Trump: The State of Free Speech in a New Era - The New York Times,New York Times,2017-01-16
370,17702,What to Make of the ‘Davos Class’ in the Trump Era - The New York Times,New York Times,2017-01-17
381,17715,Trump Entering White House Unbent and Unpopular - The New York Times,New York Times,2017-01-19
387,17723,"What Should Senators Ask Scott Pruitt, Trump’s E.P.A. Nominee? Here’s What Readers Said - The New York Times",New York Times,2017-01-18
389,17725,Former ‘Apprentice’ Contestant Files Defamation Suit Against Trump - The New York Times,New York Times,2017-01-18
390,17726,"Museum Trustee, a Trump Donor, Supports Groups That Deny Climate Change - The New York Times",New York Times,2017-01-19
391,17727,Angst Simmers in Washington as Trump Presidency Nears - The New York Times,New York Times,2017-01-18
395,17732,"In Era of Trump, China’s President Champions Economic Globalization - The New York Times",New York Times,2017-01-19
397,17734,"Brexit, Donald Trump, Chelsea Manning: Your Morning Briefing - The New York Times",New York Times,2017-01-18
413,17752,Trump National Security Team Gets a Slow Start - The New York Times,New York Times,2017-01-19
414,17754,"At Dinner Honoring Mike Pence, Donald Trump Touches Many Bases - The New York Times",New York Times,2017-01-19
417,17757,"A Trump Inauguration Casualty: The Silent, Smiling Rockettes - The New York Times",New York Times,2017-02-10
418,17758,Sonny Perdue Is Trump’s Choice for Agriculture Secretary - The New York Times,New York Times,2017-01-19
420,17760,Trump Budget Nominee Did Not Pay Taxes for Employee - The New York Times,New York Times,2017-02-21
421,17761,"Trump, Price, Pruitt: Your Wednesday Evening Briefing - The New York Times",New York Times,2017-01-18
434,17776,The Religious Speakers Taking Part in Trump’s Inaugural Ceremony - The New York Times,New York Times,2017-01-20
438,17780,Fiona Apple Releases a Trump Protest Chant - The New York Times,New York Times,2017-01-19
440,17782,The Two Bibles Donald Trump Used at the Inauguration - The New York Times,New York Times,2017-01-20
443,17785,Trump Calls for Unity at Opening Concert as Inaugural Festivities Begin - The New York Times,New York Times,2017-01-20
445,17787,Toby Keith and Trump Light Up a Lower-Wattage Concert - The New York Times,New York Times,2017-01-20
446,17788,"For Trump’s Nominees, a Billionaires’ Guide to Running the Government - The New York Times",New York Times,2017-01-20
449,17791,"Under Trump, Approach to Civil Rights Law Is Likely to Change Definitively - The New York Times",New York Times,2017-01-20
450,17792,Road Trip to Trump’s Inauguration: ‘Let’s See What He Can Do’ - The New York Times,New York Times,2017-01-24
467,17810,Donald Trump and Janet Yellen Look to Be on a Collision Course - The New York Times,New York Times,2017-01-19
470,17813,"Donald Trump Is Sworn In as President, Capping His Swift Ascent - The New York Times",New York Times,2017-01-21
471,17814,"With Echoes of the ’30s, Trump Resurrects a Hard-Line Vision of ‘America First’ - The New York Times",New York Times,2017-01-21
473,17817,Concert for Trump Misses an Opportunity - The New York Times,New York Times,2017-01-20
483,17832,Women’s March Highlights as Huge Crowds Protest Trump: ‘We’re Not Going Away’ - The New York Times,New York Times,2017-01-27
485,17835,"Trump Inspires Cheers, and Alarm, Around the World - The New York Times",New York Times,2017-01-22
486,17836,"Jared Kushner, Trump’s Son-in-Law, Is Cleared to Serve as Adviser - The New York Times",New York Times,2017-01-23
487,17837,Inaugural Speech Dims G.O.P. Hopes for a More Conservative Trump Agenda - The New York Times,New York Times,2017-01-22
488,17838,Trump’s Improvised Path to a Month of Executive Action - The New York Times,New York Times,2017-01-22
489,17839,Melania Trump’s ‘America First’ Inaugural Wardrobe - The New York Times,New York Times,2017-05-26
502,17853,"With False Claims, Trump Attacks Media on Turnout and Intelligence Rift - The New York Times",New York Times,2017-01-29
503,17854,G.O.P. Senators Hope to Speed Trump Cabinet Confirmations - The New York Times,New York Times,2017-01-23
504,17855,Trump’s Vow to Repeal Health Law Revives Talk of High-Risk Pools - The New York Times,New York Times,2017-01-23
505,17856,What Does Trump’s Executive Order Against Obamacare Actually Do? - The New York Times,New York Times,2017-01-23T00:00:00Z
506,17858,Trump on ‘Saturday Night Live’? Nope. It’s Putin and Ansari. - The New York Times,New York Times,2017-01-23
507,17859,"Donald Trump’s Inauguration, Women’s March: Your Weekend Briefing - The New York Times",New York Times,2017-01-22
511,17864,"In Trump’s Hometown, a Clear Message of Defiance From Women - The New York Times",New York Times,2017-01-22
521,17875,"Trump, Russia, and the News Story That Wasn’t - The New York Times",New York Times,2017-01-21
522,17877,Reading the Classic Novel That Predicted Trump - The New York Times,New York Times,2017-01-23
524,17880,"Trump Abandons Trans-Pacific Partnership, Obama’s Signature Trade Deal - The New York Times",New York Times,2017-01-24T00:00:00Z
525,17881,Rocky First Weekend for Trump Troubles Even His Top Aides - The New York Times,New York Times,2017-01-24
529,17885,Katie Rich of ‘S.N.L.’ Is Suspended for Tweet Mocking Barron Trump - The New York Times,New York Times,2017-01-24
530,17886,"Foreign Payments to Trump Firms Violate Constitution, Suit Will Claim - The New York Times",New York Times,2017-01-23
531,17887,Taxpayers Will Defend Trump in Suit Charging Constitutional Violations - The New York Times,New York Times,2017-01-24
532,17888,"Donald Trump, Syria, Emperor Akihito: Your Morning Briefing - The New York Times",New York Times,2017-01-24
548,17905,Trump Revives Keystone Pipeline Rejected by Obama - The New York Times,New York Times,2017-01-25T00:00:00Z
549,17906,Trump Won’t Back Down From His Voting Fraud Lie. Here Are the Facts. - The New York Times,New York Times,2017-01-25
550,17907,Press Secretary Affirms that Trump Believes Lie of Millions of Illegal Voters - The New York Times,New York Times,2017-01-25
552,17909,"Donald Trump, ‘Brexit,’ Syria: Your Morning Briefing - The New York Times",New York Times,2017-02-13
555,17912,Trump Injects High Risk Into Relations With China - The New York Times,New York Times,2017-01-25
556,17913,"For Trump, Everything Is a Rating - The New York Times",New York Times,2017-01-25
561,17919,"Emboldened by Trump, Israel Approves a Wave of West Bank Settlement Expansion - The New York Times",New York Times,2017-01-25
576,17934,Trump Orders Mexican Border Wall to Be Built and Plans to Block Syrian Refugees - The New York Times,New York Times,2017-01-26
577,17935,"As Trump Orders Wall, Mexico’s President Considers Canceling U.S. Trip - The New York Times",New York Times,2017-01-26
579,17937,"After His Claim of Voter Fraud, Trump Vows ‘Major Investigation’ - The New York Times",New York Times,2017-01-26
583,17941,Will Trump Go After Nafta With Tweezers or a Hammer? - The New York Times,New York Times,2017-03-31
584,17942,Mexico’s Potential Weapons if Trump Declares War on Nafta - The New York Times,New York Times,2017-01-25
585,17943,Trump Poised to Lift Ban on C.I.A. ‘Black Site’ Prisons - The New York Times,New York Times,2017-01-26
593,17953,"After Trump Rejects Pacific Trade Deal, Japan Fears Repeat of 1980s - The New York Times",New York Times,2017-01-25
596,17956,"Christo, Trump and the Art World’s Biggest Protest Yet - The New York Times",New York Times,2017-01-27
